query;title;url;abstract;authors;date;downloads;score;journal
aging;NAD+ repletion rescues female fertility during reproductive ageing;https://www.biorxiv.org/content/10.1101/721985v1;Female infertility is a common and devastating condition with life-long health, emotional and social consequences.  There is currently no pharmacological therapy for preserving oocyte quality during aging, which is the strongest risk factor for infertility.;Michael J. Bertoldo ... Lindsay E. Wu;2019-08-02;2340;0.43;missing
aging;Meta-analysis of genetic association with diagnosed Alzheimer's disease identifies novel risk loci and implicates Abeta, Tau, immunity and lipid processing;https://www.biorxiv.org/content/10.1101/294629v2;Late-onset Alzheimers disease (LOAD, onset age > 60 years) is the most prevalent dementia in the elderly, and risk is partially driven by genetics.  Many of the loci responsible for this genetic risk were identified by genome-wide association studies (GWAS).;BW Kunkle ... MA Pericak-Vance;2018-04-04;2933;0.14;missing
" ""cardiac"" AND ""gene therapy""";XPO1 gene therapy restores cardiac function in rats with chronic induced myocardial infarction;https://www.biorxiv.org/content/10.1101/575340v1;Background: In previous studies, we showed that several nuclear-cytoplasmic transport molecules were closely related to ventricular dysfunction in human heart failure.  Particularly, the transcriptomic signature of XPO1 was highly expressed and inversely related to left ventricular function in heart failure patients of ischemic etiology.;María García-Manzanares ... Miguel Rivera;2019-03-12;176;0.86;missing
" ""cardiac"" AND ""gene therapy""";Transient Reprogramming of Neonatal Cardiomyocytes to a Proliferative Dedifferentiated State;https://www.biorxiv.org/content/10.1101/801092v1;Zebrafish and urodele amphibians are capable of extraordinary myocardial regeneration thanks to the ability of their cardiomyocytes to undergo transient dedifferentiation and proliferation.  Somatic cells can be temporarily reprogrammed to a proliferative, dedifferentiated state through transient expression of Oct3/4, Sox2, Klf4 and c-Myc (OSKM) transcription factors.;Thomas Kisby ... Kostas Kostarelos;2019-10-10;461;0.43;missing
" ""cardiac"" AND ""gene therapy""";Viral expression of a SERCA2a-activating PLB mutant improves calcium cycling and synchronicity in dilated cardiomyopathic hiPSC-CMs;https://www.biorxiv.org/content/10.1101/699975v3;There is increasing momentum toward the development of gene therapy for heart failure (HF), cardiomyopathy, and other progressive cardiac diseases that correlate with impaired calcium (Ca2+) transport and reduced contractility.  We have used FRET between fluorescently-tagged SERCA2a (the cardiac Ca2+ pump) and PLB (its ventricular peptide regulator) to directly test the effectiveness of loss-of-function/gain-of-binding PLB mutants (PLBM) that were engineered to compete with the binding of inhibitory wild type PLB (PLBWT).;Daniel R Stroik ... David D. Thomas;2019-07-11;293;0.43;missing
" ""cardiac"" AND ""gene therapy""";Exploring Mechanisms of Inhibition of Amyloid Seeding of Transthyretin;https://www.biorxiv.org/content/10.1101/354720v1;Amyloid deposition of the hormone transporter transthyretin causes familial and sporadic amyloidoses.  The current treatment for familial cases is gene-therapy by liver transplantation.;Lorena Saelices ... David S. Eisenberg;2018-06-28;472;0.29;missing
" ""cardiac"" AND ""gene therapy""";Impaired Regulation of Redox Transcriptome during the Differentiation of iPSCs into Induced Cardiomyocytes (iCMs);https://www.biorxiv.org/content/10.1101/519793v1;Background: Reprogramming of somatic cells into pluripotent stem cells (iPSC) and subsequent differentiation into iPSC-derived cardiomyocytes (iCM) seems to be a promising strategy for cardiac regenerative therapy.  However, recent failure or poor outcomes in cardiac cell therapy warrants further investigation focusing on the infarction/wound environment (site of healing) to improve the cardiac regenerative medicine.;Gobinath Shanmugam ... Namakkal S. Rajasekaran;2019-01-14;317;0.29;missing
" ""cardiac"" AND ""gene therapy""";Rapid pacing by circulating traveling waves improves maturation of hiPSC-derived cardiomyocytes in self-organized tissue ring;https://www.biorxiv.org/content/10.1101/717108v1;"Directed differentiation methods allow acquisition of high-purity cardiomyocytes (CMs) differentiated from human induced pluripotent stem cells (hiPSCs); however, their immaturity characteristic limits their application for drug screening and regenerative therapy.  The rapid electrical pacing of cardiomyocytes have been used for efficiently promoting the maturation of cardiomyocytes, here we describe a simple device in modified culture plate on which hiPSC-derived CMs (hiPSC-CMs) can form three-dimensional self-organized tissue rings (SOTRs).";Junjun Li ... Li Liu;2019-07-27;266;0.29;missing
" ""cardiac"" AND ""gene therapy""";The signaling mechanism of Hcy-induced atrial fibrosis mediated by TRPC3;https://www.biorxiv.org/content/10.1101/583740v1;"Background: High plasma levels of homocysteine (Hcy) are regarded as a risk factor for atrial fibrillation (AF), which is closely associated with the pathological consequence of atrial fibrosis and can lead to heart failure with a high mortality rate; Currently, there is no effective therapy for preventing atrial fibrosis, owing to a lack in fundamental understanding of the underlying mechanism.  Here, we show that atrial fibrosis is mediated by the relationship between canonical transient receptor potential 3 (TRPC3) channels and sirtuin type 1 (SIRT1) under the stimulation of Hcy.";Lu Han ... Juxiang Li;2019-03-20;174;0.29;missing
" ""cardiac"" AND ""gene therapy""";Animal model and therapeutic prospects for left ventricular hypertrophy and associated renal complication;https://www.biorxiv.org/content/10.1101/638353v1;Cardiac and renal dysfunction often co-occur and considerably worsen the prognosis leading to difficulty in therapy in left ventricular hypertrophy (LVH).  The aim of this study was to elucidate changes in expression of human ortholog genes of hypertension, vascular and cardiac remodeling and hypertensive nephropathy phenotypes under normal, disease and gasotransmitter, H2S (hydrogen sulphide) and NO (nitric oxide) and combined (H2S+NO), treatment of rat myocardium and renal tissues.;Ashfaq Ahmad ... Raheel Qamar;2019-05-14;146;0.29;missing
"""regulatory t cell"" AND ""therapy""";High prevalence of S. pyogenes Cas9-specific T cell sensitization within the adult human population - A balanced effector/regulatory T cell response;https://www.biorxiv.org/content/10.1101/295139v1;The field of gene therapy has been galvanized by the discovery of the highly efficient and adaptable site-specific nuclease system CRISPR/Cas9 from bacteria.  (1,2) Immunity against therapeutic gene vectors or gene-modifying cargo nullifies the effect of a possible curative treatment and may pose significant safety issues.;Dimitrios L. Wagner ... Michael Schmueck-Henneresse;2018-04-04;1374;0.71;missing
"""regulatory t cell"" AND ""therapy""";Regulatory T cell expansion by a highly CD25-dependent IL-2 mutein arrests ongoing autoimmunity;https://www.biorxiv.org/content/10.1101/862789v2;Interleukin-2 (IL-2) controls the function of regulatory T cells (Treg) and defects in the IL-2 pathway contribute to multiple autoimmune diseases.  Although IL-2 therapy has been efficacious in certain inflammatory conditions, the capacity for IL-2 to also activate inflammatory effector responses highlights the need for IL-2-based therapeutics with improved Treg-specificity.;Liliane Khoryati ... Marc A Gavin;2019-12-03;396;0.71;missing
"""regulatory t cell"" AND ""therapy""";IL2 enhances ex-vivo expanded regulatory T cell persistence after adoptive transfer;https://www.biorxiv.org/content/10.1101/805531v2;As regulatory T cell (Treg) adoptive therapy continues to develop clinically, there is a need to determine which immunomodulatory agents pair most compatibly with Tregs to enable persistence and stabilize suppressor function.  Prior work has shown that mechanistic target of rapamycin (mTOR) inhibition can increase stability of thymic Tregs.;Scott N Furlan ... Leslie S Kean;2019-10-15;261;0.71;missing
"""regulatory t cell"" AND ""therapy""";Humoral immune response to adenovirus induce tolerogenic bystander dendritic cells that promote generation of regulatory T cells;https://www.biorxiv.org/content/10.1101/334508v1;Following repeated encounters with adenoviruses most of us develop robust humoral and cellular immune responses that are thought to act together to combat ongoing and subsequent infections.  Yet in spite of robust immune responses, adenoviruses establish subclinical persistent infections that can last for decades.;Thi Thu Phuong Tran ... Eric J Kremer;2018-05-30;214;0.71;missing
"""regulatory t cell"" AND ""therapy""";An adaptive control scheme for Interleukin-2 therapy;https://www.biorxiv.org/content/10.1101/2020.02.21.959221v1;Regulatory T cells (Treg) are suppressor cells that control self-reactive and excessive effector conventional helper T cell (Tconv) responses.  Breakdown of the balance between Tregs and Tconvs is a hallmark of autoimmune and inflammatory diseases.;Sahamoddin Khailaie ... Michael Meyer-Hermann;2020-02-24;100;0.71;missing
"""regulatory t cell"" AND ""therapy""";Bcl6 Preserves the Suppressive Function of Regulatory T Cells during Tumorigenesis;https://www.biorxiv.org/content/10.1101/2020.01.21.914812v2;During tumorigenesis, tumor infiltrating regulatory T (Treg) cells restrict the function of effector T cells in tumor microenvironment and thereby promoting tumor growth.  The anti-tumor activity of effector T cells can be therapeutically unleashed, and is now being exploited for the treatment of various types of human cancers.;Yiding Li ... Lifan Xu;2020-01-23;382;0.57;missing
